# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ../ArnoldivsPower --verbose 2 --numValues 2 --inactive 2 --incycles 20 --storevectors 0 --width 50 --tol 2.22045e-16\n --arnoldimethod explicit --power --relaxed 0.1 --residual --active 50 --acycles 200 --evectors 2 --evalues 2 --seed 0 --Iterations 10 --bins 75 -r --tracks 1000000 -f RelaxedTracks/50mfp.t1000000.dat  seed = 2947104327
# filename = RelaxedTracks/50mfp.t1000000.dat, run = true, power = false, Arnoldi = true, storevectors = 0, raw = false, evectors = 2, evalues = 2, residual = true, arnoldimethod = explicit, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, acycles = 200, incycles = 20, active = 50, inactive = 2, Iterations = 10, numValues = 2, relaxed = 0.1, tracks = 1000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14            15           16            17           18           19            20           21           22            23           24           25            26           27           28           
# |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-     Residual-Real    -| |-     Residual-Imag    -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   25.667       0.15755      0.002446      25.667       -0           0             25.667       0.1169       0.0076397     25.667       -0           0             1.2866E+08   0.0010471     1.2866E+08   0             1.2866E+08   0.99624      0.00030471    1.2866E+08   -0           0             1.2866E+08   0.98202      0.0006593     1.2866E+08   -0           0             
   26.333       0.15931      0.0025412     26.333       -0           0             26.333       0.11032      0.008         26.333       -0           0             1.3162E+08   0.0013329     1.3162E+08   0             1.3162E+08   0.99622      0.00029706    1.3162E+08   -0           0             1.3162E+08   0.98189      0.00065324    1.3162E+08   -0           0             
   27           0.16004      0.0026913     27           -0           0             27           0.10322      0.0081998     27           -0           0             1.3448E+08   0.0015501     1.3448E+08   0             1.3448E+08   0.99624      0.00028984    1.3448E+08   -0           0             1.3448E+08   0.98174      0.00065529    1.3448E+08   -0           0             
   27.667       0.16079      0.0028089     27.667       -0           0             27.667       0.094178     0.0084417     27.667       -0           0             1.3757E+08   0.0020081     1.3757E+08   0             1.3757E+08   0.99623      0.0002827     1.3757E+08   -0           0             1.3757E+08   0.98163      0.000648      1.3757E+08   -0           0             
   28.333       0.16027      0.0029081     28.333       -0           0             28.333       0.082095     0.0087652     28.333       -0           0             1.4068E+08   0.0035555     1.4068E+08   0             1.4068E+08   0.99625      0.00027674    1.4068E+08   -0           0             1.4068E+08   0.98156      0.000636      1.4068E+08   -0           0             
   29           0.15962      0.0030518     29           -0           0             29           0.068969     0.008908      29           -0           0             1.4367E+08   0.002094      1.4367E+08   0             1.4367E+08   0.99626      0.00027032    1.4367E+08   -0           0             1.4367E+08   0.98148      0.00062567    1.4367E+08   -0           0             
   29.667       0.15856      0.003294      29.667       -0           0             29.667       0.05524      0.0091688     29.667       -0           0             1.4667E+08   0.0025547     1.4667E+08   0             1.4667E+08   0.9963       0.00026669    1.4667E+08   -0           0             1.4667E+08   0.98139      0.0006172     1.4667E+08   -0           0             
   30.333       0.15757      0.0034196     30.333       -0           0             30.333       0.039877     0.0092599     30.333       -0           0             1.4971E+08   0.0030331     1.4971E+08   0             1.4971E+08   0.99628      0.00026105    1.4971E+08   -0           0             1.4971E+08   0.98129      0.00061123    1.4971E+08   -0           0             
   31           0.15454      0.00352       31           -0           0             31           0.024512     0.0094179     31           -0           0             1.5273E+08   0.0042535     1.5273E+08   0             1.5273E+08   0.9963       0.00025596    1.5273E+08   -0           0             1.5273E+08   0.98121      0.00060232    1.5273E+08   -0           0             
   31.667       0.15207      0.0038079     31.667       -0           0             31.667       0.0087951    0.0093572     31.667       -0           0             1.5572E+08   0.0019225     1.5572E+08   0             1.5572E+08   0.99631      0.0002505     1.5572E+08   -0           0             1.5572E+08   0.98114      0.000594      1.5572E+08   -0           0             
   32.333       0.14981      0.004027      32.333       -0           0             32.333       -0.0075307   0.0093559     32.333       0            0             1.5879E+08   0.0021908     1.5879E+08   0             1.5879E+08   0.99633      0.0002459     1.5879E+08   -0           0             1.5879E+08   0.98105      0.00058746    1.5879E+08   -0           0             
   33           0.14712      0.0043739     33           -0           0             33           -0.023641    0.0093486     33           0            0             1.6187E+08   0.005513      1.6187E+08   0             1.6187E+08   0.99636      0.00024241    1.6187E+08   -0           0             1.6187E+08   0.98101      0.00057656    1.6187E+08   -0           0             
   33.667       0.14418      0.0045099     33.667       -0           0             33.667       -0.038856    0.0092681     33.667       0            0             1.6498E+08   0.0035413     1.6498E+08   0             1.6498E+08   0.99635      0.00023769    1.6498E+08   -0           0             1.6498E+08   0.9809       0.00057496    1.6498E+08   -0           0             
   34.333       0.1412       0.0047191     34.333       -0           0             34.333       -0.054157    0.0091141     34.333       0            0             1.6813E+08   0.0062078     1.6813E+08   0             1.6813E+08   0.99638      0.00023505    1.6813E+08   -0           0             1.6813E+08   0.98091      0.00056347    1.6813E+08   -0           0             
   35           0.13803      0.0048715     35           -0           0             35           -0.06841     0.009094      35           0            0             
