# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --relaxed 0 --eigenvalues 3 --tracks 500000 --inactive 10 --source Histogram\n --Iterations 30 --active 30 --seed 0 --run --bins 50 -f Bins/50mfp/50mfp.b50.dat , seed = 311202460
# Arguments: source = Histogram, method = explicit, Iterations = 30, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/50mfp/50mfp.b50.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 50, active = 30, inactive = 10, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4             5            6             7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34           35            36           37           38            39           40            41           42            43           44            45           46           
# |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-      FOM-Arnoldi     -| 
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   30.5         0.18199       30.5         0             30.5         -0.123897     30.5         0             30.5         -0.104395     30.5         0             4.65E+08     0.997069     0.000170553   4.65E+08     0            0             4.65E+08     0.997463      4.65E+08     0             4.65E+08     0.988978     0.000218786   4.65E+08     0            0             4.65E+08     0.989518      4.65E+08     0             4.65E+08     0.975723     0.000196752   4.65E+08     0            0             4.65E+08     0.975712      4.65E+08     0             4.65E+08     2500.64       
   31.5         0.178296      31.5         0             31.5         -0.141575     31.5         0             31.5         -0.0725625    31.5         0             4.8E+08      0.997118     0.000169743   4.8E+08      0            0             4.8E+08      0.99815       4.8E+08      0             4.8E+08      0.988861     0.000237842   4.8E+08      0            0             4.8E+08      0.986415      4.8E+08      0             4.8E+08      0.975779     0.000195633   4.8E+08      0            0             4.8E+08      0.976956      4.8E+08      0             4.8E+08      2581.08       
   32.5         0.174641      32.5         0             32.5         -0.157038     32.5         0             32.5         -0.0381873    32.5         0             4.95E+08     0.997118     0.000162363   4.95E+08     0            0             4.95E+08     0.997123      4.95E+08     0             4.95E+08     0.988822     0.000230742   4.95E+08     0            0             4.95E+08     0.987955      4.95E+08     0             4.95E+08     0.975782     0.000187147   4.95E+08     0            0             4.95E+08     0.975843      4.95E+08     0             4.95E+08     2661.39       
   33.5         0.170078      33.5         0             33.5         -0.17003      33.5         0             33.5         -0.00232047   33.5         0             5.1E+08      0.99713      0.00015602    5.1E+08      0            0             5.1E+08      0.997399      5.1E+08      0             5.1E+08      0.988881     0.000228492   5.1E+08      0            0             5.1E+08      0.990233      5.1E+08      0             5.1E+08      0.975815     0.000182226   5.1E+08      0            0             5.1E+08      0.976572      5.1E+08      0             5.1E+08      2741.89       
   34.5         0.164003      34.5         0             34.5         -0.180251     34.5         0             34.5         0.0333127     34.5         0             5.25E+08     0.997109     0.000151153   5.25E+08     0            0             5.25E+08     0.996611      5.25E+08     0             5.25E+08     0.988906     0.00022077    5.25E+08     0            0             5.25E+08     0.989518      5.25E+08     0             5.25E+08     0.975841     0.000176826   5.25E+08     0            0             5.25E+08     0.976472      5.25E+08     0             5.25E+08     2822.62       
   35.5         0.158179      35.5         0             35.5         -0.187936     35.5         0             35.5         0.0681898     35.5         0             5.4E+08      0.997137     0.000147973   5.4E+08      0            0             5.4E+08      0.997846      5.4E+08      0             5.4E+08      0.988884     0.000213348   5.4E+08      0            0             5.4E+08      0.98834       5.4E+08      0             5.4E+08      0.975861     0.000171201   5.4E+08      0            0             5.4E+08      0.976372      5.4E+08      0             5.4E+08      2903.15       
   36.5         0.152033      36.5         0             36.5         -0.19397      36.5         0             36.5         0.100277      36.5         0             5.55E+08     0.997078     0.000153744   5.55E+08     0            0             5.55E+08     0.995549      5.55E+08     0             5.55E+08     0.988946     0.000214287   5.55E+08     0            0             5.55E+08     0.99056       5.55E+08     0             5.55E+08     0.975873     0.000165258   5.55E+08     0            0             5.55E+08     0.976177      5.55E+08     0             5.55E+08     2983.3        
   37.5         0.144583      37.5         0             37.5         -0.196745     37.5         0             37.5         0.129297      37.5         0             5.7E+08      0.997098     0.000149474   5.7E+08      0            0             5.7E+08      0.997622      5.7E+08      0             5.7E+08      0.988948     0.000206641   5.7E+08      0            0             5.7E+08      0.988994      5.7E+08      0             5.7E+08      0.975915     0.000164695   5.7E+08      0            0             5.7E+08      0.977059      5.7E+08      0             5.7E+08      3063.7        
   38.5         0.136947      38.5         0             38.5         -0.196309     38.5         0             38.5         0.15339       38.5         0             5.85E+08     0.997068     0.000147235   5.85E+08     0            0             5.85E+08     0.996237      5.85E+08     0             5.85E+08     0.988988     0.000203288   5.85E+08     0            0             5.85E+08     0.990099      5.85E+08     0             5.85E+08     0.975957     0.000164283   5.85E+08     0            0             5.85E+08     0.977133      5.85E+08     0             5.85E+08     3144.33       
   39.5         0.128652      39.5         0             39.5         -0.193809     39.5         0             39.5         0.172657      39.5         0             6E+08        0.997069     0.00014233    6E+08        0            0             6E+08        0.997099      6E+08        0             6E+08        0.989027     0.000200296   6E+08        0            0             6E+08        0.99017       6E+08        0             6E+08        0.975955     0.000158822   6E+08        0            0             6E+08        0.975891      6E+08        0             6E+08        3225.2        
