# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ../ArnoldiResearch --verbose 2 --width 20 --relaxed 0 --source Linear --tracks 100000 --inactive 50 --Iterations 10 --eigenvalues\n 3 --active 500 --seed 0 --run --bins 60 -f Bins/20mfp-BetterStats/Linear/20mfp.b60.dat , seed = 2044065133
# Arguments: source = Linear, method = explicit, Iterations = 10, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/20mfp-BetterStats/Linear/20mfp.b60.dat, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 60, active = 500, inactive = 50, tracks = 100000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14           15            16           17           18            19           20            21           22            23           24            25           26           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-      FOM-Arnoldi     -| |-   RAM eigenvector-0  -| |-   RAM eigenvector-1  -| |-   RAM eigenvector-2  -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   6.7E+07      4.83501      0.00264677    6.7E+07      0            0             6.7E+07      4.37738      0.00309323    6.7E+07      0            0             6.7E+07      3.83237      0.00651947    6.7E+07      0            0             1.17E+08     204.824       11           0.0735381     11           0.0135155     11           0.0290568     
   6.8E+07      4.83373      0.00278816    6.8E+07      0            0             6.8E+07      4.37654      0.00303345    6.8E+07      0            0             6.8E+07      3.83363      0.00627702    6.8E+07      0            0             1.18E+08     205.678       11.3333      0.0729776     11.3333      0.0176914     11.3333      0.0268875     
   6.9E+07      4.83369      0.00264181    6.9E+07      0            0             6.9E+07      4.37456      0.00345996    6.9E+07      0            0             6.9E+07      3.8347       0.00603754    6.9E+07      0            0             1.19E+08     209.999       11.3333      0.0729196     11.3333      0.0177353     11.3333      0.0267916     
   7E+07        4.8331       0.00257341    7E+07        0            0             7E+07        4.37372      0.00338646    7E+07        0            0             7E+07        3.83296      0.00598269    7E+07        0            0             1.2E+08      213.78        11.6667      0.0721509     11.6667      0.0219484     11.6667      0.0237864     
   7.1E+07      4.83284      0.00246459    7.1E+07      0            0             7.1E+07      4.37392      0.0032308     7.1E+07      0            0             7.1E+07      3.82957      0.00658854    7.1E+07      0            0             1.21E+08     214.521       11.6667      0.0721659     11.6667      0.0219292     11.6667      0.0238208     
   7.2E+07      4.83223      0.00242715    7.2E+07      0            0             7.2E+07      4.37568      0.00353359    7.2E+07      0            0             7.2E+07      3.82825      0.00641815    7.2E+07      0            0             1.22E+08     218.842       12           0.0710672     12           0.025827      12           0.0203398     
   7.3E+07      4.83202      0.00233049    7.3E+07      0            0             7.3E+07      4.37587      0.00338501    7.3E+07      0            0             7.3E+07      3.82693      0.00627467    7.3E+07      0            0             1.23E+08     222.106       12           0.0711737     12           0.0258759     12           0.0203343     
   7.4E+07      4.83092      0.00247753    7.4E+07      0            0             7.4E+07      4.37707      0.00345009    7.4E+07      0            0             7.4E+07      3.82768      0.00605789    7.4E+07      0            0             1.24E+08     225.74        12.3333      0.0700278     12.3333      0.0295345     12.3333      0.0164762     
   7.5E+07      4.83153      0.00245157    7.5E+07      0            0             7.5E+07      4.37631      0.00339509    7.5E+07      0            0             7.5E+07      3.82576      0.00611316    7.5E+07      0            0             1.25E+08     223.919       12.3333      0.07005       12.3333      0.0295407     12.3333      0.0164951     
   7.6E+07      4.83123      0.00237574    7.6E+07      0            0             7.6E+07      4.3773       0.00340456    7.6E+07      0            0             7.6E+07      3.82612      0.00588893    7.6E+07      0            0             1.26E+08     227.408       12.6667      0.0687173     12.6667      0.0329388     12.6667      0.0122654     
   7.7E+07      4.83159      0.00231574    7.7E+07      0            0             7.7E+07      4.37719      0.00328027    7.7E+07      0            0             7.7E+07      3.82471      0.00583769    7.7E+07      0            0             1.27E+08     224.414       12.6667      0.06875       12.6667      0.0329717     12.6667      0.0121791     
   7.8E+07      4.83127      0.00225528    7.8E+07      0            0             7.8E+07      4.37759      0.00318821    7.8E+07      0            0             7.8E+07      3.82164      0.0063872     7.8E+07      0            0             1.28E+08     227.398       13           0.0672846     13           0.0360398     13           0.00770391    
   7.9E+07      4.8317       0.00221752    7.9E+07      0            0             7.9E+07      4.37816      0.00312877    7.9E+07      0            0             7.9E+07      3.82073      0.00623058    7.9E+07      0            0             1.29E+08     222.753       13           0.0671857     13           0.0359862     13           0.00770849    
   8E+07        4.83216      0.0021906     8E+07        0            0             8E+07        4.37774      0.0030523     8E+07        0            0             8E+07        3.82054      0.00602586    8E+07        0            0             1.3E+08      221.977       13.3333      0.0656146     13.3333      0.038727      13.3333      0.00314876    
   8.1E+07      4.83146      0.00222982    8.1E+07      0            0             8.1E+07      4.37776      0.0029539     8.1E+07      0            0             8.1E+07      3.82032      0.00583528    8.1E+07      0            0             1.31E+08     224.793       13.3333      0.0655875     13.3333      0.038715      13.3333      0.00301831    
   8.2E+07      4.83162      0.00216587    8.2E+07      0            0             8.2E+07      4.3773       0.00289771    8.2E+07      0            0             8.2E+07      3.81935      0.00573372    8.2E+07      0            0             1.32E+08     228.081       13.6667      0.0638255     13.6667      0.0411076     13.6667      -0.0015841    
   8.3E+07      4.83193      0.00212268    8.3E+07      0            0             8.3E+07      4.37702      0.00282336    8.3E+07      0            0             8.3E+07      3.81958      0.00556455    8.3E+07      0            0             1.33E+08     231.144       13.6667      0.0637999     13.6667      0.0411175     13.6667      -0.00165104   
   8.4E+07      4.83167      0.00207586    8.4E+07      0            0             8.4E+07      4.37737      0.00276159    8.4E+07      0            0             8.4E+07      3.81912      0.00542012    8.4E+07      0            0             1.34E+08     233.674       14           0.0618375     14           0.0430949     14           -0.00631913   
   8.5E+07      4.83128      0.0020532     8.5E+07      0            0             8.5E+07      4.37685      0.00273132    8.5E+07      0            0             8.5E+07      3.81964      0.00529057    8.5E+07      0            0             1.35E+08     237.188       14           0.0618597     14           0.0431066     14           -0.00639453   
   8.6E+07      4.83143      0.00200168    8.6E+07      0            0             8.6E+07      4.37704      0.00266228    8.6E+07      0            0             8.6E+07      3.81948      0.00514593    8.6E+07      0            0             1.36E+08     240.478       14.3333      0.0598348     14.3333      0.0446383     14.3333      -0.010876     
   8.7E+07      4.83137      0.00194836    8.7E+07      0            0             8.7E+07      4.37634      0.00268083    8.7E+07      0            0             8.7E+07      3.81949      0.00500685    8.7E+07      0            0             1.37E+08     241.292       14.3333      0.0597962     14.3333      0.0446598     14.3333      -0.0109081    
   8.8E+07      4.83141      0.00189742    8.8E+07      0            0             8.8E+07      4.37651      0.00261564    8.8E+07      0            0             8.8E+07      3.81969      0.00487914    8.8E+07      0            0             1.38E+08     244.157       14.6667      0.0576638     14.6667      0.0458425     14.6667      -0.0152887    
