# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./Research/PowerResearch --verbose 2 --width 20 --multimedia --inactive 3250 --active 1250 --seed 0 --bins 300 --run --tracks\n 1000000 -f Symmetric.Power-2.dat , seed = 1306049843
# Arguments: source = Bank, run = true, filename = Symmetric.Power-2.dat, multimedia = true, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 300, active = 1250, inactive = 3250, tracks = 1000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5             6            7             8            9             10           11            12           13           
# |-            Power values           -| |-   Power raw values   -| |-        Entropy       -| |-      Power-Time      -| |-       FOM-Power      -| |-     Power vector     -| 
#  x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   9.1E+07      0.424209     0             9.1E+07      0.424209      9.1E+07      3.60323       9.1E+07      245.196       3.341E+09    33982.8       2.715        0             
   9.2E+07      0.424442     0             9.2E+07      0.424442      9.2E+07      3.6043        9.2E+07      247.846       3.342E+09    34514.2       2.745        0             
   9.3E+07      0.423715     0             9.3E+07      0.423715      9.3E+07      3.60385       9.3E+07      250.482       3.343E+09    34835.4       2.775        0             
   9.4E+07      0.425257     0             9.4E+07      0.425257      9.4E+07      3.60451       9.4E+07      253.105       3.344E+09    35537.8       2.805        0             
   9.5E+07      0.42355      0             9.5E+07      0.42355       9.5E+07      3.60459       9.5E+07      255.727       3.345E+09    36135.5       2.835        0             
   9.6E+07      0.423812     0             9.6E+07      0.423812      9.6E+07      3.60503       9.6E+07      258.335       3.346E+09    36260.2       2.865        0             
   9.7E+07      0.424926     0             9.7E+07      0.424926      9.7E+07      3.60535       9.7E+07      260.947       3.347E+09    36919.1       2.895        0             
   9.8E+07      0.424271     0             9.8E+07      0.424271      9.8E+07      3.60748       9.8E+07      263.562       3.348E+09    37617.3       2.925        0             
   9.9E+07      0.423626     0             9.9E+07      0.423626      9.9E+07      3.60668       9.9E+07      266.179       3.349E+09    38353.8       2.955        0             
   1E+08        0.423417     0             1E+08        0.423417      1E+08        3.60914       1E+08        268.785       3.35E+09     38663.3       2.985        0             
   1.01E+08     0.424906     0             1.01E+08     0.424906      1.01E+08     3.60937       1.01E+08     271.394       3.351E+09    38768.6       3.015        0             
   1.02E+08     0.425518     0             1.02E+08     0.425518      1.02E+08     3.61056       1.02E+08     274.006       3.352E+09    39280.4       3.045        0             
   1.03E+08     0.424086     0             1.03E+08     0.424086      1.03E+08     3.6103        1.03E+08     276.617       3.353E+09    39475.8       3.075        0             
   1.04E+08     0.42481      0             1.04E+08     0.42481       1.04E+08     3.61229       1.04E+08     279.239       3.354E+09    40137.2       3.105        0             
   1.05E+08     0.424729     0             1.05E+08     0.424729      1.05E+08     3.61203       1.05E+08     281.85        3.355E+09    40187.9       3.135        0             
   1.06E+08     0.424248     0             1.06E+08     0.424248      1.06E+08     3.61317       1.06E+08     284.447       3.356E+09    40943.7       3.165        0             
   1.07E+08     0.42354      0             1.07E+08     0.42354       1.07E+08     3.61422       1.07E+08     287.057       3.357E+09    40042.5       3.195        0             
   1.08E+08     0.423483     0             1.08E+08     0.423483      1.08E+08     3.61648       1.08E+08     289.674       3.358E+09    39832.2       3.225        0             
   1.09E+08     0.424654     0             1.09E+08     0.424654      1.09E+08     3.61688       1.09E+08     292.302       3.359E+09    39295.3       3.255        0             
   1.1E+08      0.42436      0             1.1E+08      0.42436       1.1E+08      3.61595       1.1E+08      294.918       3.36E+09     39849.3       3.285        0             
   1.11E+08     0.42389      0             1.11E+08     0.42389       1.11E+08     3.61716       1.11E+08     297.529       3.361E+09    39766.6       3.315        0             
   1.12E+08     0.424455     0             1.12E+08     0.424455      1.12E+08     3.61763       1.12E+08     300.122       3.362E+09    40348         3.345        0             
   1.13E+08     0.424435     0             1.13E+08     0.424435      1.13E+08     3.61859       1.13E+08     302.737       3.363E+09    40682.9       3.375        0             
   1.14E+08     0.423974     0             1.14E+08     0.423974      1.14E+08     3.61811       1.14E+08     305.351       3.364E+09    40795.5       3.405        0             
   1.15E+08     0.423665     0             1.15E+08     0.423665      1.15E+08     3.62024       1.15E+08     307.966       3.365E+09    41482.4       3.435        0             
   1.16E+08     0.424909     0             1.16E+08     0.424909      1.16E+08     3.62122       1.16E+08     310.59        3.366E+09    42055         3.465        0             
   1.17E+08     0.424533     0             1.17E+08     0.424533      1.17E+08     3.62221       1.17E+08     313.218       3.367E+09    42508.9       3.495        0             
   1.18E+08     0.423704     0             1.18E+08     0.423704      1.18E+08     3.6226        1.18E+08     315.852       3.368E+09    43212.4       3.525        0             
   1.19E+08     0.424356     0             1.19E+08     0.424356      1.19E+08     3.62187       1.19E+08     318.492       3.369E+09    43845         3.555        0             
   1.2E+08      0.42491      0             1.2E+08      0.42491       1.2E+08      3.62267       1.2E+08      321.11        3.37E+09     43530.6       3.585        0             
   1.21E+08     0.424905     0             1.21E+08     0.424905      1.21E+08     3.62201       1.21E+08     323.717       3.371E+09    44245.4       3.615        0             
   1.22E+08     0.424078     0             1.22E+08     0.424078      1.22E+08     3.62282       1.22E+08     326.329       3.372E+09    44943.8       3.645        0             
   1.23E+08     0.424152     0             1.23E+08     0.424152      1.23E+08     3.6232        1.23E+08     328.914       3.373E+09    45506.5       3.675        0             
   1.24E+08     0.423861     0             1.24E+08     0.423861      1.24E+08     3.62426       1.24E+08     331.526       3.374E+09    46234.5       3.705        0             
   1.25E+08     0.4248       0             1.25E+08     0.4248        1.25E+08     3.62608       1.25E+08     334.134       3.375E+09    46949.3       3.735        0             
   1.26E+08     0.423973     0             1.26E+08     0.423973      1.26E+08     3.62752       1.26E+08     336.741       3.376E+09    46950.3       3.765        0             
