# This file was created by gnuFile.py version  $Revision: 632 $ on Wed Aug 19 00:57:54 2009.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# 192-236.adsl.umnet.umich.edu$ ProcessVectors.py
# This data was taken from the file: Symmetric.Power-2.dat, and Symmetric.Arnoldi.dat
# =============================================================================
# 
#  1            2             3            4             5            6             7            8             9            10            11           12            13           14            15           16           
# |-    Sym-Arnoldi-1     -| |-    Sym-Arnoldi-0     -| |-      Asym-Power      -| |-    Asym-Arnoldi-1    -| |-    Asym-Arnoldi-0    -| |-    Sym2-Arnoldi-0    -| |-    Sym2-Arnoldi-1    -| |-      Sym-Power       -| 
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   4.935        0             4.935        0             4.9405       0             4.9405       0             4.9405       0             4.935        -0            4.935        0             4.935        0            
   4.965        0             4.965        0             4.9705       0             4.9705       0             4.9705       0             4.965        -0            4.965        0             4.965        0            
   4.995        0             4.995        0             5.0005       0             5.0005       0             5.0005       0             4.995        -0            4.995        0             4.995        0            
   5.025        0             5.025        0             5.0306       0             5.0306       0             5.0306       0             5.025        -0            5.025        0             5.025        0            
   5.055        0             5.055        0             5.0606       0             5.0606       0             5.0606       0             5.055        -0            5.055        0             5.055        0            
   5.085        0             5.085        0             5.0907       0             5.0907       0             5.0907       0             5.085        -0            5.085        0             5.085        0            
   5.115        0             5.115        0             5.1207       0             5.1207       0             5.1207       0             5.115        -0            5.115        0             5.115        0            
   5.145        0             5.145        0             5.1507       0             5.1507       0             5.1507       0             5.145        -0            5.145        0             5.145        0            
   5.175        0             5.175        0             5.1807       0             5.1807       0             5.1807       0             5.175        -0            5.175        0             5.175        0            
   5.205        0             5.205        0             5.2108       0             5.2108       0             5.2108       0             5.205        -0            5.205        0             5.205        0            
   5.235        0             5.235        0             5.2408       0             5.2408       0             5.2408       0             5.235        -0            5.235        0             5.235        0            
   5.265        0             5.265        0             5.2709       0             5.2709       0             5.2709       0             5.265        -0            5.265        0             5.265        0            
   5.295        0             5.295        0             5.3009       0             5.3009       0             5.3009       0             5.295        -0            5.295        0             5.295        0            
   5.325        0             5.325        0             5.3309       0             5.3309       0             5.3309       0             5.325        -0            5.325        0             5.325        0            
   5.355        0             5.355        0             5.3609       0             5.3609       0             5.3609       0             5.355        -0            5.355        0             5.355        0            
   5.385        0             5.385        0             5.391        0             5.391        0             5.391        0             5.385        -0            5.385        0             5.385        0            
   5.415        0             5.415        0             5.421        0             5.421        0             5.421        0             5.415        -0            5.415        0             5.415        0            
   5.445        0             5.445        0             5.4511       0             5.4511       0             5.4511       0             5.445        -0            5.445        0             5.445        0            
   5.475        0             5.475        0             5.4811       0             5.4811       0             5.4811       0             5.475        -0            5.475        0             5.475        0            
   5.505        0             5.505        0             5.5111       0             5.5111       0             5.5111       0             5.505        -0            5.505        0             5.505        0            
   5.535        0             5.535        0             5.5412       0             5.5412       0             5.5412       0             5.535        -0            5.535        0             5.535        0            
   5.565        0             5.565        0             5.5712       0             5.5712       0             5.5712       0             5.565        -0            5.565        0             5.565        0            
   5.595        0             5.595        0             5.6012       0             5.6012       0             5.6012       0             5.595        -0            5.595        0             5.595        0            
   5.625        0             5.625        0             5.6312       0             5.6312       0             5.6312       0             5.625        -0            5.625        0             5.625        0            
   5.655        0             5.655        0             5.6613       0             5.6613       0             5.6613       0             5.655        -0            5.655        0             5.655        0            
   5.685        0             5.685        0             5.6913       0             5.6913       0             5.6913       0             5.685        -0            5.685        0             5.685        0            
   5.715        0             5.715        0             5.7214       0             5.7214       0             5.7214       0             5.715        -0            5.715        0             5.715        0            
   5.745        0             5.745        0             5.7514       0             5.7514       0             5.7514       0             5.745        -0            5.745        0             5.745        0            
   5.775        0             5.775        0             5.7814       0             5.7814       0             5.7814       0             5.775        -0            5.775        0             5.775        0            
   5.805        0             5.805        0             5.8114       0             5.8114       0             5.8114       0             5.805        -0            5.805        0             5.805        0            
   5.835        0             5.835        0             5.8415       0             5.8415       0             5.8415       0             5.835        -0            5.835        0             5.835        0            
   5.865        0             5.865        0             5.8715       0             5.8715       0             5.8715       0             5.865        -0            5.865        0             5.865        0            
   5.895        0             5.895        0             5.9016       0             5.9016       0             5.9016       0             5.895        -0            5.895        0             5.895        0            
   5.925        0             5.925        0             5.9316       0             5.9316       0             5.9316       0             5.925        -0            5.925        0             5.925        0            
   5.955        0             5.955        0             5.9616       0             5.9616       0             5.9616       0             5.955        -0            5.955        0             5.955        0            
   5.985        0             5.985        0             5.9916       0             5.9916       0             5.9916       0             5.985        -0            5.985        0             5.985        0            
   6.015        0             6.015        0             6.0217       0             6.0217       0             6.0217       0             6.015        -0            6.015        0             6.015        0            
   6.045        0             6.045        0             6.0517       0             6.0517       0             6.0517       0             6.045        -0            6.045        0             6.045        0            
   6.075        0             6.075        0             6.0818       0             6.0818       0             6.0818       0             6.075        -0            6.075        0             6.075        0            
   6.105        0             6.105        0             6.1118       0             6.1118       0             6.1118       0             6.105        -0            6.105        0             6.105        0            
   6.135        0             6.135        0             6.1418       0             6.1418       0             6.1418       0             6.135        -0            6.135        0             6.135        0            
   6.165        0             6.165        0             6.1719       0             6.1719       0             6.1719       0             6.165        -0            6.165        0             6.165        0            
   6.195        0             6.195        0             6.2019       0             6.2019       0             6.2019       0             6.195        -0            6.195        0             6.195        0            
   6.225        0             6.225        0             6.2319       0             6.2319       0             6.2319       0             6.225        -0            6.225        0             6.225        0            
   6.255        0             6.255        0             6.2619       0             6.2619       0             6.2619       0             6.255        -0            6.255        0             6.255        0            
   6.285        0             6.285        0             6.292        0             6.292        0             6.292        0             6.285        -0            6.285        0             6.285        0            
   6.315        0             6.315        0             6.322        0             6.322        0             6.322        0             6.315        -0            6.315        0             6.315        0            
   6.345        0             6.345        0             6.3521       0             6.3521       0             6.3521       0             6.345        -0            6.345        0             6.345        0            
